City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,22.07,48,7,0.89,AU,2025-01-30
1,guerrero negro,27.9769,-114.0611,13.99,69,0,7.15,MX,2025-01-30
2,okha,53.5739,142.9478,-13.02,95,100,6.95,RU,2025-01-30
3,grytviken,-54.2811,-36.5092,4.66,65,83,3.89,GS,2025-01-30
4,port-aux-francais,-49.35,70.2167,6.93,90,100,16.39,TF,2025-01-30
5,port alfred,-33.5906,26.891,21.77,93,22,1.34,ZA,2025-01-30
6,fuerte olimpo,-21.0415,-57.8738,28.79,58,79,1.76,PY,2025-01-30
7,puerto natales,-51.7236,-72.4875,10.27,69,100,2.27,CL,2025-01-30
8,sandnessjoen,66.0217,12.6316,2.32,88,100,6.57,NO,2025-01-30
9,cidreira,-30.1811,-50.2056,22.46,81,98,2.16,BR,2025-01-30
10,houma,29.5958,-90.7195,22.78,81,100,5.14,US,2025-01-30
11,ilulissat,69.2167,-51.1,-11.31,56,84,6.51,GL,2025-01-30
12,kavieng,-2.5744,150.7967,29.61,64,37,2.39,PG,2025-01-30
13,ushuaia,-54.8,-68.3,9.81,66,20,10.8,AR,2025-01-30
14,pisco,-13.7,-76.2167,22.03,83,0,9.26,PE,2025-01-30
15,invercargill,-46.4,168.35,20.57,53,25,3.13,NZ,2025-01-30
16,uusikaupunki,60.8004,21.4084,0.2,94,96,3.59,FI,2025-01-30
17,vilyuchinsk,52.9306,158.4028,-1.85,74,100,3.64,RU,2025-01-30
18,pandan,14.0453,124.1694,26.08,86,96,6.89,PH,2025-01-30
19,stanley,54.868,-1.6985,2.51,84,100,2.06,GB,2025-01-30
20,guarapari,-20.6667,-40.4975,24.01,85,100,4.93,BR,2025-01-30
21,st. john's,47.5649,-52.7093,-7.79,86,40,11.83,CA,2025-01-30
22,waitangi,-43.9535,-176.5597,17.12,78,72,3.13,NZ,2025-01-30
23,college,64.8569,-147.8028,-25.52,68,75,0.0,US,2025-01-30
24,sorong,-0.8833,131.25,28.49,75,100,2.95,ID,2025-01-30
25,papatowai,-46.5619,169.4708,16.84,61,93,3.34,NZ,2025-01-30
26,adamstown,-25.066,-130.1015,25.01,73,100,6.32,PN,2025-01-30
27,sitka,57.0531,-135.33,-1.06,80,100,3.6,US,2025-01-30
28,arraial do cabo,-22.9661,-42.0278,24.98,88,75,4.63,BR,2025-01-30
29,atafu village,-8.5421,-172.5159,28.49,76,78,8.25,TK,2025-01-30
30,rongelap,11.1635,166.8941,26.4,73,29,7.87,MH,2025-01-30
31,ust-nera,64.5667,143.2,-37.8,99,68,1.43,RU,2025-01-30
32,tolanaro,-25.0319,46.9987,25.16,88,1,3.63,MG,2025-01-30
33,hermanus,-34.4187,19.2345,18.22,82,100,8.16,ZA,2025-01-30
34,kirakira,-10.4544,161.9205,27.95,81,100,4.13,SB,2025-01-30
35,siracusa,37.0881,15.2792,10.18,75,99,0.45,IT,2025-01-30
36,saipan,15.1355,145.701,31.39,73,0,9.26,MP,2025-01-30
37,thunder bay,48.4001,-89.3168,-5.01,100,40,2.06,CA,2025-01-30
38,akureyri,65.6835,-18.0878,-2.04,93,100,1.54,IS,2025-01-30
39,holualoa,19.6228,-155.9522,26.91,68,100,12.35,US,2025-01-30
40,tura,25.5198,90.2201,14.17,97,100,1.71,IN,2025-01-30
41,sibu,2.3,111.8167,24.17,100,40,1.03,MY,2025-01-30
42,newman,37.3138,-121.0208,13.36,65,5,1.34,US,2025-01-30
43,isafjordur,66.0755,-23.124,-3.04,72,26,5.59,IS,2025-01-30
44,afaahiti,-17.75,-149.2833,26.64,77,19,6.95,PF,2025-01-30
45,kodiak,57.79,-152.4072,-4.27,39,0,5.14,US,2025-01-30
46,bredasdorp,-34.5322,20.0403,21.11,62,100,5.25,ZA,2025-01-30
47,whitehorse,60.7161,-135.0538,-21.1,70,100,5.66,CA,2025-01-30
48,bethel,41.3712,-73.414,-2.28,55,40,0.89,US,2025-01-30
49,stephenville,32.2207,-98.2023,16.07,30,0,4.63,US,2025-01-30
50,lorengau,-2.0226,147.2712,30.07,68,99,2.63,PG,2025-01-30
51,ormara,25.2088,64.6357,16.46,35,0,9.6,PK,2025-01-30
52,east london,-33.0153,27.9116,23.16,85,100,5.41,ZA,2025-01-30
53,nova sintra,14.8667,-24.7167,23.35,70,5,11.26,CV,2025-01-30
54,forster,-32.1667,152.5167,24.65,89,73,3.98,AU,2025-01-30
55,karyes,37.3,22.5,6.15,94,78,1.12,GR,2025-01-30
56,avarua,-21.2078,-159.775,29.03,79,20,5.14,CK,2025-01-30
57,shevchenko,48.5,35.0,5.09,93,97,2.31,UA,2025-01-30
58,susuman,62.7833,148.1667,-37.27,98,78,0.42,RU,2025-01-30
59,kutum,14.2,24.6667,11.11,32,7,4.28,SD,2025-01-30
60,downpatrick,54.3263,-5.7035,6.27,90,25,5.07,GB,2025-01-30
61,callao,-12.0667,-77.15,26.51,78,0,6.17,PE,2025-01-30
62,uruzgan,32.8333,66.0,-1.16,55,0,3.8,AF,2025-01-30
63,flying fish cove,-10.4217,105.6791,25.82,94,100,4.63,CX,2025-01-30
64,kismayo,-0.3582,42.5454,24.41,84,8,5.87,SO,2025-01-30
65,lukhovitsy,54.9728,39.0361,2.46,93,7,3.96,RU,2025-01-30
